"File","Modified","Code","SkartId"
"SEND_STOCK_CARD_RESPONSE_1-18447-KOVAN-http-20251129-214905.txt","30.11.2025 00:49:05","NO_JSON",
"SEND_STOCK_CARD_RESPONSE_A1121-EM-http-20251129-214905.txt","30.11.2025 00:49:05","NO_JSON",
"SEND_STOCK_CARD_RESPONSE_1-1020-KOVAN-http-20251129-214904.txt","30.11.2025 00:49:04","NO_JSON",
"SEND_STOCK_CARD_RESPONSE_9320487-http-20251129-214904.txt","30.11.2025 00:49:04","NO_JSON",
"SEND_STOCK_CARD_RESPONSE_9310011-http-20251129-214903.txt","30.11.2025 00:49:03","NO_JSON",
"SEND_STOCK_CARD_RESPONSE_9310030-http-20251129-214903.txt","30.11.2025 00:49:03","NO_JSON",
"SEND_STOCK_CARD_RESPONSE_OR-AA24-01-http-20251129-214902.txt","30.11.2025 00:49:02","NO_JSON",
"SEND_STOCK_CARD_RESPONSE_OIO-AA19-01-http-20251129-214902.txt","30.11.2025 00:49:02","NO_JSON",
"SEND_STOCK_CARD_RESPONSE_OR-AA22-01-http-20251129-214902.txt","30.11.2025 00:49:02","NO_JSON",
"SEND_STOCK_CARD_RESPONSE_OIO-AA24-01-http-20251129-214901.txt","30.11.2025 00:49:01","NO_JSON",
"SEND_STOCK_CARD_RESPONSE_9310024-http-20251129-214900.txt","30.11.2025 00:49:00","NO_JSON",
"SEND_STOCK_CARD_RESPONSE_BFM-02-http-20251129-214900.txt","30.11.2025 00:49:00","NO_JSON",
"SEND_STOCK_CARD_RESPONSE_BFM-01-http-20251129-214900.txt","30.11.2025 00:49:00","NO_JSON",
"SEND_STOCK_CARD_RESPONSE_P-TKZ-SAG-B12-http-20251129-214858.txt","30.11.2025 00:48:58","NO_JSON",
"SEND_STOCK_CARD_RESPONSE_HIZ20-http-20251129-214857.txt","30.11.2025 00:48:57","NO_JSON",
"SEND_STOCK_CARD_RESPONSE_BFM-06-http-20251129-214857.txt","30.11.2025 00:48:57","NO_JSON",
"SEND_STOCK_CARD_RESPONSE_PIPE_1_VWGH_160_V5-http-20251129-214856.txt","30.11.2025 00:48:56","NO_JSON",
"SEND_STOCK_CARD_RESPONSE_BFM-03-http-20251129-214855.txt","30.11.2025 00:48:55","NO_JSON",
"SEND_STOCK_CARD_RESPONSE_HIZ10-http-20251129-214855.txt","30.11.2025 00:48:55","NO_JSON",
"SEND_STOCK_CARD_RESPONSE_MZ11.5650471-http-20251129-214854.txt","30.11.2025 00:48:54","NO_JSON",
"SEND_STOCK_CARD_RESPONSE_PIPE_23_VWGH_160_V5-http-20251129-214854.txt","30.11.2025 00:48:54","NO_JSON",
"SEND_STOCK_CARD_RESPONSE_BFM-04-http-20251129-214853.txt","30.11.2025 00:48:53","NO_JSON",
"SEND_STOCK_CARD_RESPONSE_CL-29_02_00347_01-http-20251129-214853.txt","30.11.2025 00:48:53","NO_JSON",
